happy1,id,travel,direction,born,sports,aware,morning_drink,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,pineapple_pizza,pinky,os,hand,energy,shoes,phone,apartment_size,rooms,apps,countries,cb,food_money,season,drink_coffee,height,bother,happy2,tutorial_batch,time,major,morning_drink2,morning_drink_cat
6,reinh16,20.0,sw,400.0,1.0,awake,water,yes,9,no,0,3,2,2,do_not_mind,7.0,microsoft,22.0,8,7.0,17.5,80.0,3,54,15,yes,160.0,summer,milk,185.0,7,8,2025,12.15,uwi,water,water
8,milter71,2.0,s,280.0,3.0,energized,hot_chocolate,no,6,yes,2,4,2,2,do_not_mind,7.0,microsoft,18.0,8,6.0,16.0,120.0,4,140,35,no,170.0,spring,milk,174.0,4,6,2025,12.15,uwi,other,chocolate
7,krueg31,2.0,sw,168.0,3.0,tired,coffee,yes,7,yes,1,5,3,4,yes,5.0,apple,16.0,5,7.0,12.0,70.0,4,30,10,yes,150.0,fall,milk,180.0,8,7,2025,12.15,uwi,coffee,coffee
7,gotts27,80.0,nw,85.0,5.0,awake,tea,yes,7,yes,1,0,2,2,yes,8.0,apple,14.0,6,6.0,12.0,50.0,1,50,25,no,200.0,summer,milk,180.0,6,7,2025,12.15,uwi,tea,tea
5,brued19,2.0,n,50.0,3.0,awake,coffe,yes,9,yes,1,0,5,3,no,7.0,apple,22.0,5,5.0,14.0,70.0,3,4,12,no,230.0,summer,milk,187.0,5,5,2025,12.15,uwi,coffee,coffee
6,masur17,2.4,nw,93.0,3.0,awake,water,no,8,yes,2,2,1,1,no,7.0,microsoft,16.0,7,6.0,18.0,32.0,0,45,7,no,150.0,fall,other,162.0,2,6,2025,12.15,uwi,water,water
5,hüffe2,3.0,ne,250.0,8.0,tired,water,yes,7,yes,1,5,2,2,do_not_mind,6.2,apple,20.5,6,25.0,15.0,33.3,0,72,9,yes,75.0,spring,other,158.0,8,7,2025,12.15,uwi,water,water
9,kasta24,0.3,ne,60.0,8.0,energized,kong_strong,yes,8,yes,1,0,2,2,no,7.5,both,22.0,5,6.0,7.5,36.0,0,209,15,yes,200.0,summer,milk,187.0,3,9,2025,12.15,uwi,other,energy_drink
7,mispe6,69.0,nw,123.0,0.0,awake,match_latte,yes,7,yes,2,0,3,5,do_not_mind,6.6,apple,23.0,7,75.0,13.8,98.0,3,55,28,yes,600.0,spring,sugar_milk,168.0,10,9,2025,12.15,uwi,coffee,matcha
6,kiese20,2.0,n,175.0,1.0,awake,water,yes,8,yes,1,53,1,2,do_not_mind,6.7,microsoft,21.0,6,3.0,15.0,80.0,4,20,22,yes,100.0,summer,sugar_milk,170.0,8,7,2025,12.15,uwi,water,water
7,amwei11,1.0,ne,750.0,4.0,awake,water,yes,8,yes,7,2,1,1,do_not_mind,6.0,microsoft,19.0,9,7.0,17.0,16.0,5,90,2,yes,190.0,spring,other,164.0,6,8,2025,12.15,uwi,water,water
6,amfuc,2.0,nw,140.0,5.0,awake,tea,yes,8,yes,2,8,2,2,do_not_mind,6.5,microsoft,15.5,4,6.0,16.0,13.0,2,40,10,yes,180.0,spring,milk,176.0,4,6,2025,12.15,uwi,tea,tea
7,altep,2.3,se,47.0,2.0,tired,coffee,yes,7,yes,1,1,1,2,do_not_mind,5.2,apple,17.0,4,7.0,12.0,35.0,0,73,9,yes,200.0,fall,milk,162.0,8,7,2025,12.15,uwi,coffee,coffee
7,gathe7e,0.4,nw,402.0,3.0,awake,coffee,yes,8,yes,1,4,2,2,do_not_mind,2.1,apple,21.0,6,6.0,15.49,75.0,2,166,13,yes,200.0,spring,milk,185.0,6,7,2025,12.15,uwi,coffee,coffee
7,adeba25,11.0,nw,77.0,2.0,awake,water,yes,7,no,0,0,2,2,no,6.0,microsoft,12.0,4,9.0,15.0,100.0,1,169,16,yes,150.0,spring,other,169.0,8,3,2025,12.15,uwi,water,water
6,kreie1,45.0,ne,51.0,1.0,tired,water,yes,9,yes,1,7,1,1,no,5.8,microsoft,19.0,5,7.0,17.0,150.0,3,78,7,yes,250.0,summer,other,167.0,5,6,2025,12.15,uwi,water,water
7,stein15,1.2,n,300.0,4.0,awake,tea,yes,7,yes,1,5,4,5,yes,6.0,microsoft,20.0,5,5.0,13.0,99.0,3,65,17,no,220.0,summer,milk,171.0,8,6,2025,12.15,uwi,tea,tea
9,frapa28,2.0,n,50.0,4.0,awake,water,yes,9,yes,1,0,2,2,do_not_mind,6.5,apple,20.0,7,5.0,15.5,55.0,2,187,15,yes,190.0,summer,milk,184.0,5,9,2025,12.15,uwi,water,water
7,görli42,2.5,sw,430.0,1.0,awake,tea,yes,7,yes,1,0,4,3,no,6.0,microsoft,15.0,7,5.0,15.0,51.0,3,25,26,yes,280.0,spring,sugar_milk,170.0,5,7,2025,12.15,uwi,tea,tea
6,wyndh12,2.0,nw,48.0,5.0,awake,coffee,no,9,yes,1,2,4,3,do_not_mind,8.0,apple,23.0,4,3.0,15.0,42.0,0,20,35,yes,370.0,summer,milk,188.0,5,5,2025,12.15,uwi,coffee,coffee
5,blank41,7.0,ne,485.0,1.0,awake,water,no,7,yes,1,15,3,4,no,6.5,microsoft,19.5,6,5.0,16.0,90.0,2,196,10,yes,40.0,summer,sugar_milk,174.0,7,5,2025,12.15,uwi,water,water
3,suchl14,3.1,n,285.0,2.0,awake,tea,yes,8,yes,1,0,3,2,do_not_mind,6.0,microsoft,20.0,6,10.0,13.0,61.0,0,55,11,no,190.0,summer,sugar_milk,173.0,8,5,2025,12.15,uwi,tea,tea
8,paul-g37,0.5,n,393.0,2.0,awake,tea,yes,8,yes,1,3,2,2,do_not_mind,5.5,microsoft,17.5,6,4.0,16.0,57.0,1,144,10,yes,200.0,spring,other,169.0,8,8,2025,12.15,uwi,tea,tea
7,haupt30,2.0,n,650.0,4.0,awake,green_tea,yes,9,yes,3,10,4,4,do_not_mind,6.0,microsoft,19.6,8,8.0,7.3,12.0,4,174,12,no,350.0,spring,milk,176.0,6,7,2025,12.15,uwi,tea,tea
6,seged1,2.0,e,1828.0,3.0,awake,orange_juice,no,7,yes,1,3,4,4,no,6.0,microsoft,19.5,7,4.0,17.0,40.0,2,40,18,yes,70.0,fall,milk,167.0,6,7,2025,12.15,uwi,other,juice/smoothie
6,there12,1.0,s,300.0,1.0,tired,coffee,yes,8,no,0,1,3,4,no,6.0,microsoft,21.0,7,2.0,14.0,70.0,4,96,22,no,200.0,summer,milk,168.0,7,6,2025,12.15,uwi,coffee,coffee
8,duven10,2.0,nw,50.0,2.0,awake,tea_or_water,yes,7,yes,1,1,2,2,do_not_mind,6.0,microsoft,15.0,8,6.0,10.0,50.0,1,40,15,yes,200.0,fall,milk,177.0,3,6,2025,12.15,uwi,tea,tea
7,zumwi,6.0,ne,122.0,8.0,awake,coffee,yes,6,yes,1,0,3,1,no,6.0,microsoft,20.0,8,5.0,17.0,16.0,4,282,25,yes,200.0,summer,milk,186.0,9,9,2025,12.15,uwi,coffee,coffee
